ano,mes,data,regiao,uf,cidade,tipo_acidente,periodo_dia,acidentes,feridos,mortes,chuva_mm,visibilidade,veiculos_envolvidos,nivel_gravidade
2015,1,2015-01-01,Norte,AM,Manaus,Capotamento,Tarde,12,15,2,24.0,Boa,28,Moderado
2015,1,2015-01-01,Norte,PA,Belém,Atropelamento,Manhã,13,17,0,9.8,Ruim,30,Crítico
2015,1,2015-01-01,Norte,PA,Santarém,Capotamento,Tarde,18,12,0,50.4,Ruim,31,Leve
2015,1,2015-01-01,Norte,RO,Porto Velho,Atropelamento,Tarde,25,16,1,39.8,Boa,36,Grave
2015,1,2015-01-01,Norte,TO,Palmas,Atropelamento,Manhã,15,19,0,59.5,Boa,34,Grave
2015,1,2015-01-01,Nordeste,BA,Salvador,Saída de pista,Manhã,16,13,2,40.4,Boa,33,Grave
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Colisão,Manhã,22,14,0,61.7,Boa,47,Leve
2015,1,2015-01-01,Nordeste,PE,Recife,Saída de pista,Tarde,28,12,1,35.3,Muito ruim,32,Crítico
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,Saída de pista,Manhã,21,12,1,15.4,Muito ruim,37,Leve
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Saída de pista,Noite,22,9,1,32.8,Boa,25,Crítico
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Saída de pista,Noite,21,6,3,29.1,Ruim,31,Grave
2015,1,2015-01-01,Nordeste,MA,São Luís,Colisão,Noite,13,14,2,27.6,Boa,33,Crítico
2015,1,2015-01-01,Nordeste,PB,João Pessoa,Colisão,Tarde,17,18,0,30.8,Moderada,27,Moderado
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,Colisão,Madrugada,13,13,1,18.6,Ruim,32,Crítico
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,Atropelamento,Madrugada,24,8,1,48.5,Ruim,37,Moderado
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,Capotamento,Manhã,22,11,1,11.6,Moderada,38,Grave
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,Colisão,Manhã,19,12,2,10.6,Ruim,43,Grave
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Colisão,Manhã,26,16,1,53.5,Muito ruim,35,Grave
2015,1,2015-01-01,Sudeste,SP,São Paulo,Saída de pista,Manhã,12,13,1,22.6,Muito ruim,46,Grave
2015,1,2015-01-01,Sudeste,SP,Campinas,Capotamento,Tarde,30,13,2,7.2,Moderada,33,Crítico
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,Saída de pista,Tarde,17,13,2,35.3,Ruim,39,Grave
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Capotamento,Noite,16,16,0,49.7,Moderada,39,Grave
2015,1,2015-01-01,Sudeste,RJ,Niterói,Saída de pista,Noite,21,14,0,33.6,Boa,41,Grave
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,Atropelamento,Noite,19,10,2,40.2,Moderada,25,Grave
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,Colisão,Manhã,20,10,3,16.2,Boa,37,Crítico
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Capotamento,Madrugada,23,6,0,31.3,Ruim,30,Leve
2015,1,2015-01-01,Sudeste,MG,Uberlândia,Saída de pista,Madrugada,17,9,2,43.3,Muito ruim,28,Crítico
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Atropelamento,Madrugada,14,18,1,36.4,Moderada,34,Crítico
2015,1,2015-01-01,Sudeste,ES,Vitória,Atropelamento,Tarde,16,10,1,81.6,Ruim,43,Crítico
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Colisão,Tarde,16,12,1,72.4,Ruim,21,Crítico
2015,1,2015-01-01,Sudeste,ES,Serra,Atropelamento,Noite,19,7,3,24.5,Boa,33,Crítico
2015,1,2015-01-01,Sul,PR,Curitiba,Atropelamento,Manhã,17,12,2,6.5,Boa,35,Grave
2015,1,2015-01-01,Sul,PR,Londrina,Atropelamento,Manhã,16,6,0,61.0,Ruim,33,Moderado
2015,1,2015-01-01,Sul,SC,Florianópolis,Colisão,Tarde,25,11,1,44.9,Muito ruim,28,Grave
2015,1,2015-01-01,Sul,SC,Joinville,Capotamento,Noite,24,13,0,5.5,Ruim,29,Leve
2015,1,2015-01-01,Sul,RS,Porto Alegre,Saída de pista,Manhã,18,12,2,7.3,Moderada,40,Leve
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Atropelamento,Madrugada,20,8,0,37.6,Muito ruim,31,Leve
2015,2,2015-02-01,Norte,AM,Manaus,Atropelamento,Tarde,24,10,0,28.9,Ruim,25,Moderado
2015,2,2015-02-01,Norte,PA,Belém,Saída de pista,Tarde,26,12,2,18.6,Moderada,33,Moderado
2015,2,2015-02-01,Norte,PA,Santarém,Atropelamento,Manhã,16,19,1,28.0,Boa,24,Grave
2015,2,2015-02-01,Norte,RO,Porto Velho,Atropelamento,Tarde,18,9,1,37.1,Muito ruim,46,Leve
2015,2,2015-02-01,Norte,TO,Palmas,Atropelamento,Noite,25,14,1,41.8,Boa,37,Moderado
2015,2,2015-02-01,Nordeste,BA,Salvador,Capotamento,Manhã,18,12,0,0.5,Boa,34,Moderado
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Colisão,Tarde,24,10,0,32.3,Moderada,32,Crítico
2015,2,2015-02-01,Nordeste,PE,Recife,Colisão,Manhã,22,11,2,16.1,Moderada,37,Leve
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,Saída de pista,Madrugada,17,11,2,36.3,Moderada,30,Moderado
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Capotamento,Tarde,21,12,3,64.5,Ruim,41,Moderado
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Atropelamento,Tarde,19,14,1,42.2,Moderada,38,Moderado
2015,2,2015-02-01,Nordeste,MA,São Luís,Capotamento,Tarde,23,10,1,39.2,Boa,37,Moderado
2015,2,2015-02-01,Nordeste,PB,João Pessoa,Saída de pista,Noite,20,10,0,26.9,Muito ruim,31,Leve
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,Atropelamento,Tarde,20,9,1,51.8,Boa,34,Grave
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,Atropelamento,Madrugada,17,12,0,9.6,Muito ruim,36,Crítico
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,Saída de pista,Madrugada,22,8,1,18.0,Moderada,26,Moderado
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,Atropelamento,Manhã,16,7,0,7.3,Moderada,40,Grave
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Saída de pista,Noite,18,8,1,27.8,Boa,38,Leve
2015,2,2015-02-01,Sudeste,SP,São Paulo,Capotamento,Madrugada,25,7,1,32.2,Moderada,43,Grave
2015,2,2015-02-01,Sudeste,SP,Campinas,Colisão,Madrugada,29,13,4,32.0,Moderada,40,Crítico
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,Capotamento,Noite,19,12,0,21.6,Ruim,35,Moderado
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Capotamento,Manhã,19,16,3,23.4,Muito ruim,40,Leve
2015,2,2015-02-01,Sudeste,RJ,Niterói,Capotamento,Noite,13,12,1,21.5,Moderada,29,Grave
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,Capotamento,Madrugada,14,16,2,43.0,Muito ruim,39,Moderado
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,Capotamento,Tarde,23,12,0,13.9,Moderada,35,Grave
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Atropelamento,Madrugada,19,8,1,18.6,Muito ruim,28,Leve
2015,2,2015-02-01,Sudeste,MG,Uberlândia,Atropelamento,Madrugada,20,9,1,25.6,Ruim,44,Crítico
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,Capotamento,Noite,15,13,0,103.0,Boa,35,Leve
2015,2,2015-02-01,Sudeste,ES,Vitória,Capotamento,Noite,30,9,3,5.0,Ruim,43,Crítico
